CustomerID,Age,Gender,City,AnnualIncome_INR_K,SpendingScore,PurchaseFrequency,Recency_Days,Tenure_Months,ProductCategoryPreference,AvgOrderValue_INR,MonetaryValue_INR,SatisfactionScore,Cluster,SegmentName
CUST01179,59,Male,Mumbai,1117.1,16,8,99,16,Electronics,200.0,1738.6,3.5,3,At-Risk Customers
CUST00866,19,Male,Hyderabad,571.7,60,23,4,25,Beauty & Personal Care,200.0,5383.27,4.6,1,New Bargain Hunters
CUST00102,51,Female,Ahmedabad,691.9,49,16,313,17,Fashion & Apparel,200.0,3463.17,3.0,3,At-Risk Customers
CUST00440,21,Female,Hyderabad,438.9,75,29,27,43,Grocery,200.0,5993.57,3.7,2,Premium Spenders (High-Value Loyal Customers)
CUST00059,26,Female,Mumbai,595.5,45,11,41,15,Electronics,200.0,1902.72,2.7,1,New Bargain Hunters
CUST01121,28,Male,Delhi,814.5,54,17,4,30,Sports & Fitness,200.0,4044.86,2.9,1,New Bargain Hunters
CUST00324,40,Male,Hyderabad,823.3,92,29,37,34,Home & Furniture,200.0,8109.93,3.9,2,Premium Spenders (High-Value Loyal Customers)
CUST00975,51,Female,Ahmedabad,1064.4,13,6,15,25,Beauty & Personal Care,200.0,1060.96,2.9,3,At-Risk Customers
CUST00412,32,Female,Ahmedabad,221.7,98,40,1,57,Electronics,200.0,9291.42125,5.0,2,Premium Spenders (High-Value Loyal Customers)
CUST00856,47,Male,Mumbai,530.6,42,17,287,24,Beauty & Personal Care,200.0,3583.73,4.0,3,At-Risk Customers
CUST00821,34,Male,Mumbai,288.4,39,12,170,20,Fashion & Apparel,200.0,1931.46,4.4,3,At-Risk Customers
CUST00045,49,Female,Kolkata,494.1,30,10,103,20,Grocery,200.0,2274.6,2.7,3,At-Risk Customers
CUST00050,31,Female,Jaipur,441.0,44,14,7,26,Fashion & Apparel,200.0,3298.93,3.4,1,New Bargain Hunters
CUST00850,32,Female,Ahmedabad,451.9,43,17,15,33,Sports & Fitness,200.0,3706.16,3.0,1,New Bargain Hunters
CUST00241,64,Female,Hyderabad,439.4,37,12,162,32,Sports & Fitness,200.0,2555.71,2.9,0,Steady Mature Regulars
CUST00171,39,Male,Kolkata,1006.1,20,9,58,19,Home & Furniture,200.0,1473.97,3.4,3,At-Risk Customers
